t,Pmeas,Vmeas
0,-0.635,0.436
0.012,-0.586,0.289
0.024,-0.488,0.12
0.036,-0.356,-0.06
0.048,-0.186,-0.235
0.06,0.024,-0.395
0.072,0.259,-0.53
0.084,0.459,-0.639
0.096,0.63,-0.719
0.108,0.801,-0.771
0.12,0.947,-0.799
0.132,1.06,-0.803
0.144,1.123,-0.786
0.156,1.162,-0.747
0.168,1.162,-0.685
0.18,1.118,-0.598
0.192,1.055,-0.487
0.204,0.952,-0.351
0.216,0.835,-0.192
0.228,0.693,-0.019
0.24,0.537,0.154
0.252,0.381,0.319
0.264,0.269,0.463
0.276,0.117,0.581
0.288,-0.024,0.674
0.3,-0.161,0.741
0.312,-0.283,0.784
0.324,-0.391,0.803
0.336,-0.479,0.8
0.348,-0.552,0.777
0.36,-0.601,0.731
0.372,-0.63,0.663
0.384,-0.645,0.572
0.396,-0.64,0.452
0.408,-0.591,0.307
0.42,-0.508,0.142
0.432,-0.376,-0.036
0.444,-0.21,-0.214
0.456,0,-0.376
0.468,0.229,-0.515
0.48,0.449,-0.626
0.492,0.605,-0.71
0.504,0.791,-0.765
0.516,0.928,-0.796
0.528,1.045,-0.804
0.54,1.118,-0.79
0.552,1.157,-0.754
0.564,1.162,-0.695
0.576,1.128,-0.613
0.588,1.064,-0.505
0.6,0.967,-0.372
0.612,0.854,-0.216
0.624,0.713,-0.045
0.636,0.566,0.128
0.648,0.405,0.295
0.66,0.273,0.441
0.672,0.151,0.566
0.684,0,0.662
0.696,-0.137,0.732
0.708,-0.264,0.778
0.72,-0.371,0.801
0.732,-0.464,0.802
0.744,-0.537,0.782
0.756,-0.591,0.741
0.768,-0.625,0.677
0.78,-0.645,0.59
0.792,-0.64,0.475
0.804,-0.605,0.334
0.816,-0.527,0.172
0.828,-0.405,-0.004
0.84,-0.244,-0.183
0.852,-0.044,-0.349
0.864,0.186,-0.492
0.876,0.41,-0.609
0.888,0.586,-0.696
0.9,0.747,-0.757
0.912,0.908,-0.793
0.924,1.025,-0.804
0.936,1.108,-0.794
0.948,1.157,-0.762
0.96,1.162,-0.708
0.972,1.138,-0.63
0.984,1.079,-0.528
0.996,0.991,-0.398
1.008,0.874,-0.247
1.02,0.742,-0.081
1.032,0.596,0.094
1.044,0.435,0.262
1.056,0.288,0.414
1.068,0.176,0.542
1.08,0.02,0.645
1.092,-0.112,0.72
1.104,-0.234,0.771
1.116,-0.352,0.798
1.128,-0.449,0.804
1.14,-0.527,0.788
1.152,-0.586,0.751
1.164,-0.62,0.693
1.176,-0.64,0.609
1.188,-0.645,0.501
1.2,-0.615,0.368
1.212,-0.547,0.21
1.224,-0.435,0.034
1.236,-0.283,-0.145
1.248,-0.093,-0.314
1.26,0.132,-0.463
1.272,0.361,-0.584
1.284,0.513,-0.679
1.296,0.718,-0.746
1.308,0.874,-0.786
1.32,1.001,-0.803
1.332,1.089,-0.798
1.344,1.147,-0.771
1.356,1.167,-0.722
1.368,1.147,-0.651
1.38,1.099,-0.554
1.392,1.016,-0.433
1.404,0.908,-0.288
1.416,0.776,-0.122
1.428,0.635,0.051
1.44,0.474,0.222
1.452,0.322,0.378
1.464,0.215,0.512
1.476,0.063,0.621
1.488,-0.073,0.704
1.5,-0.205,0.76
1.512,-0.317,0.793
1.524,-0.42,0.804
1.536,-0.508,0.794
1.548,-0.571,0.763
1.56,-0.61,0.711
1.572,-0.635,0.635
1.584,-0.645,0.534
1.596,-0.63,0.408
1.608,-0.571,0.256
1.62,-0.469,0.084
1.632,-0.332,-0.094
1.644,-0.146,-0.267
1.656,0.054,-0.422
1.668,0.293,-0.551
1.68,0.469,-0.654
1.692,0.654,-0.729
1.704,0.835,-0.777
1.716,0.967,-0.801
1.728,1.069,-0.802
1.74,1.133,-0.782
1.752,1.167,-0.74
1.764,1.157,-0.675
1.776,1.118,-0.587
1.788,1.04,-0.474
1.8,0.942,-0.335
1.812,0.82,-0.176
1.824,0.679,-0.004
1.836,0.527,0.167
1.848,0.366,0.33
1.86,0.264,0.471
1.872,0.117,0.588
1.884,-0.039,0.679
1.896,-0.166,0.744
